"Story","Title","Result","Date","Stability","Duration (s)"
"HU-001 Login","Inicio de sesion fallido","PENDING","2022-11-16T16:20:30.024-05:00[America/Bogota]","0.0","0.02"
"HU-001 Login","Inicio de sesion exitoso","SUCCESS","2022-11-16T21:35:43.161-05:00[America/Bogota]","0.0","16.21"
"HU-001 Login","Inicio de sesion campos erroneos","SUCCESS","2022-11-16T21:35:59.402-05:00[America/Bogota]","0.0","12.81"
"HU-001 Login","Inicio de sesion campo en blanco","SUCCESS","2022-11-16T21:36:12.225-05:00[America/Bogota]","0.0","11.61"
"HU-001 Login","Ingreso el nuevo usuario en la página","SUCCESS","2022-11-16T22:19:37.53-05:00[America/Bogota]","0.0","36.35"
"HU-001 Login","Como usuario ingreso los datos de la nueva cuenta","SUCCESS","2022-11-16T22:32:59.77-05:00[America/Bogota]","0.0","36.03"
